Site name,Date planted,Address,Street,Vegetation Common name 1,Vegetation Common name 2,Vegetation Common name 3,Vegetation species name 1,Vegetation species name 2,Vegetation species name 3,Coordinates (N),Coordinates (W)
Rain Garden 3rd St. 1,3/8/14,Greenway,3rd Street,Red Maple,Grey Rush ,Santa Barbara Sedge,Acer rubrum,Juncus patens,Carex barbarae,37.9313320,122.3664800
Rain Garden 3rd St. 2,3/8/14,Greenway,3rd Street,Red Maple,Grey Rush ,Santa Barbara Sedge,Acer rubrum,Juncus patens,Carex barbarae,37.9314390,122.3666680
Rain Garden 9th St. ,3/14/14,Greenway,9th Street ,Red Maple,Grey Rush ,Santa Barbara Sedge,Acer rubrum,Juncus patens,Carex barbarae,37.9314760,122.3608900
Tree Box Filter 1,5/15/13,Greenway,21st Street,Cork Oak ,Grey Rush ,Deer-bed Sedge,Quercus suber,Juncus patens,Carex praegracilis,,
Tree Box Filter 2,5/15/13,Greenway,21st Street,Cork Oak,Grey Rush ,Deer-bed Sedge,Quercus suber,Juncus patens,Carex praegracilis,,
Tree Box Filter 3,5/15/13,Greenway,21st Street,Cork Oak,,,Quercus suber,,,,
Tree Box Filter 4,3/7/14,Greenway,21st Street,Eastern Redbud,Grey Rush ,Santa Barbara Sedge,Cercis canadensis,Juncus patens,Carex barbarae,37.9318910,122.3495950
Tree Box Filter 5,3/7/14,Greenway,21st Street,Red Maple,Grey Rush ,Santa Barbara Sedge,Acer rubrum,Juncus patens,Carex barbarae,37.9318710,122.3495860
Tree Box Filter 6,3/21/14,Greenway,21st Street,Eastern Redbud,Grey Rush ,Santa Barbara Sedge,Cercis canadensis,Juncus patens,Carex barbarae,37.9316800,122.3495550
Tree Box Filter 7,3/21/14,Greenway,21st Street,Red Maple,Grey Rush ,Santa Barbara Sedge,Acer rubrum,Juncus patens,Carex barbarae,37.9315860,122.3495810
6th St. bioswale tree 1 area,3/8/14,Greenway,6th St. bioswale,White Alder,,,Alnus rhombifolia,,,,
6th St. bioswale tree 2 area,11/22/13,Greenway,6th St. bioswale,White Alder,,,Alnus rhombifolia,,,,
6th St. bioswale tree 3 area,11/22/13,Greenway,6th St. bioswale,White Alder,,,Alnus rhombifolia,,,,
6th St. bioswale tree 4 area,11/22/13,Greenway,6th St. bioswale,Box Elder,,,Acer negundo,,,,
6th St. bioswale tree 5 area,3/8/14,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 7 area,12/14/13,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 8 area,3/8/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 9 area,3/8/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 10 area,3/8/14,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 11 area,12/21/13,Greenway,6th St. bioswale,CA Bay Laurel,,,Umbellularia californica,,,,
6th St. bioswale tree 12 area,3/8/14,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 13 area,12/21/13,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 14 area,12/21/13,Greenway,6th St. bioswale,Box Elder,,,Acer negundo,,,,
6th St. bioswale tree 15 area,1/20/14,Greenway,6th St. bioswale,CA Bay Laurel,,,Umbellularia californica,,,,
6th St. bioswale tree 16 area,1/20/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 17 area,11/22/13,Greenway,6th St. bioswale,Box Elder,,,Acer negundo,,,,
6th St. bioswale tree 18 area,12/14/13,Greenway,6th St. bioswale,Oregon Ash,,,Fraxinus latifolia,,,,
6th St. bioswale tree 19 area,3/8/14,Greenway,6th St. bioswale,Coast Live Oak,,,Quercus agrifolia,,,,
6th St. bioswale tree 19 area,3/15/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 20 area,12/14/13,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 21 area,1/20/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 22 area,3/8/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 23 area,3/15/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 24 area,1/20/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 25 area,3/8/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 26 area,3/15/14,Greenway,6th St. bioswale,Coast Live Oak,,,Quercus agrifolia,,,,
6th St. bioswale tree 27 area,1/20/14,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 28 area,1/20/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 29 area,1/20/14,Greenway,6th St. bioswale,Big-Leaf Maple,,,Acer macrophyllum,,,,
6th St. bioswale tree 30 area,1/20/14,Greenway,6th St. bioswale,Coastal Redwood,,,Sequoia sempervirens,,,,
6th St. bioswale tree 31 area,1/20/14,Greenway,6th St. bioswale,CA Bay Laurel,,,Umbellularia californica,,,,
6th St. bioswale tree 32 area,1/20/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 33 area,1/20/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 34 area,3/15/14,Greenway,6th St. bioswale,Western Redbud,,,Cercis occidentalis,,,,
6th St. bioswale tree 35 area,3/15/14,Greenway,6th St. bioswale,Coast Live Oak,,,Quercus agrifolia,,,,
8th St. greenway tree 1,3/14/14,Greenway,8th Street,Strawberry Tree,,,Arbutus marina,,,,
8th St. greenway tree 2,3/14/14,Greenway,8th Street,Western Redbud,,,Cercis occidentalis,,,,
8th St. greenway tree 3,3/14/14,Greenway,8th Street,Coast Live Oak,,,Quercus agrifolia,,,,
6th St. Tree 1,1/23/13,116,6th Street,Strawberry Tree,,,Arbutus marina,,," 37¡55'57.67""N","122¡21'49.46""W"
6th St. Tree 2,1/23/13,240,6th Street,Strawberry Tree,,,Arbutus marina,,," 37¡56'5.37""N","122¡21'49.27""W"
13th St. Tree 1,4/4/14,1032,13th Street,Red Maple,,,Acer rubrum,,," 37¡56'53.69""N","122¡21'24.52""W"
17th St. Tree 1,4/9/14,610,17th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,," 37¡56'25.31""N","122¡21'12.24""W"
28th St. Tree 1,6/26/14,620,28th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
2nd St. Tree 1,1/13/14,600,2nd Street,Strawberry Tree,,,Arbutus marina,,," 37¡56'26.22""N","122¡22'2.95""W"
2nd St. Tree 2,1/13/14,600,2nd Street,Strawberry Tree,,,Arbutus marina,,," 37¡56'25.78""N","122¡22'2.64""W"
2nd St. Tree 3,1/13/14,600,2nd Street,Strawberry Tree,,,Arbutus marina,,," 37¡56'25.71""N","122¡22'2.34""W"
32nd St. Tree 1,6/23/14,780,32nd Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,"37¡56'37.03""N","122¡20'10.28""W"
32nd St. Tree 2,6/23/14,780,32nd Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,"37¡56'37.17""N","Ê122¡20'10.80""W"
34th St. Tree 1,4/11/14,801,34th Street,Eastern Redbud,,,Cercis canadensis,,," 37¡56'37.69""N","122¡20'5.01""W"
34th St. Tree 2,4/11/14,801,34th Street,Eastern Redbud,,,Cercis canadensis,,," 37¡56'37.89""N","122¡20'5.01""W"
34th St. Tree 3,4/11/14,801,34th Street,Eastern Redbud,,,Cercis canadensis,,," 37¡56'38.00""N","122¡20'4.95""W"
34th St. Tree 4,6/23/14,962,34th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
36th St. Tree 1,4/11/14,878,36th Street,Red Maple,,,Acer rubrum,,," 37¡56'42.52""N","122¡19'57.43""W"
36th St. Tree 2,4/11/14,878,36th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,," 37¡56'41.64""N","122¡19'58.00""W"
38th St. Tree 1,3/26/14,708,38th Street,Eastern Redbud,,,Cercis canadensis,,," 37¡56'29.13""N","122¡19'53.25""W"
8th St. Tree 1,1/9/14,659,8th Street,Strawberry Tree,,,Arbutus marina,,," 37¡56'29.30""N","122¡21'42.70""W"
8th St. Tree 2,3/22/14,694,8th Street,Strawberry Tree,,,Arbutus marina,,,,
